Brand;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Pvol_Wh_m3
ProLiteX;TP4000-6SPX25L;22.2;4000;25;50;536;200;222768;165.6716418;200;8283.58209;398620.9869
ProLiteX;TP4000-7SPX25;25.9;4000;25;50;614;200;259896;168.7296417;200;8436.482085;398620.9869
ProLiteX;TP4000-8SPX25;29.6;4000;25;50;702;200;297024;168.6609687;200;8433.048433;398620.9869
ProLiteX;TP4000-8SPX25L;29.6;4000;25;50;712;200;297024;166.2921348;200;8314.606742;398620.9869
ProLiteX;TP4000-9SPX25;33.3;4000;25;50;790;200;328848;168.6075949;200;8430.379747;405050.3576
ProLiteX;TP4000-10SPX25;37;4000;25;50;877;200;371280;168.7571266;200;8437.856328;398620.9869
ProLiteX;TP4000-10SPX25L;37;4000;25;50;887;200;371280;166.854566;200;8342.728298;398620.9869
ProLiteX;TP4000-6SPX25;22.2;4000;25;50;536;200;222768;165.6716418;200;8283.58209;398620.9869
ProLiteX;TP4400-2SPX25;7.4;4400;25;50;205;220;93568;158.8292683;220;7941.463415;347982.2161
ProLiteX;TP4400-3SPX25;11.1;4400;25;50;306;220;140352;159.6078431;220;7980.392157;347982.2161
ProLiteX;TP4400-4SPX25;14.8;4400;25;50;406;220;187136;160.3940887;220;8019.704433;347982.2161
ProLiteX;TP4400-5SPX25;18.5;4400;25;50;505;220;233920;161.1881188;220;8059.405941;347982.2161
ProLiteX;TP4400-6SPX25;22.2;4400;25;50;601;220;280704;162.5291181;220;8126.455907;347982.2161
ProLiteX;TP4400-7SPX25;25.9;4400;25;50;701;220;321640;162.5677603;220;8128.388017;354309.1655
ProLiteX;TP4400-8SPX25;29.6;4400;25;50;801;220;368424;162.5967541;220;8129.837703;353505.7434
ProLiteX;TP4400-8SPX25L;29.6;4400;25;50;811;220;374272;160.5918619;220;8029.593095;347982.2161
ProLiteX;TP4400-9SPX25;33.3;4400;25;50;902;220;415208;162.4390244;220;8121.95122;352883.3741
ProLiteX;TP4400-10SPX25;37;4400;25;50;994;220;456144;163.7826962;220;8189.134809;356904.8371
ProLiteX;TP5000-2SPX25;7.4;5000;25;50;237;250;111112;156.1181435;250;7805.907173;332997.336
ProLiteX;TP5000-3SPX25;11.1;5000;25;50;349;250;163744;159.025788;250;7951.289398;338943.717
ProLiteX;TP5000-4SPX25;14.8;5000;25;50;465;250;216376;159.1397849;250;7956.989247;341997.264
ProLiteX;TP5000-5SPX25;18.5;5000;25;50;574;250;269008;161.1498258;250;8057.491289;343855.9448
ProLiteX;TP5000-6SPX25L;22.2;5000;25;50;705;250;327488;157.4468085;250;7872.340426;338943.717
ProLiteX;TP5000-7SPX25;25.9;5000;25;50;813;250;374272;159.2865929;250;7964.329643;346005.0445
ProLiteX;TP5000-8SPX25;29.6;5000;25;50;930;250;432752;159.1397849;250;7956.989247;341997.264
ProLiteX;TP5000-8SPX25L;29.6;5000;25;50;940;250;432752;157.4468085;250;7872.340426;341997.264
ProLiteX;TP5000-9SPX25;33.3;5000;25;50;1046;250;479536;159.1778203;250;7958.891013;347210.6369
ProLiteX;TP5000-10SPX25;37;5000;25;50;1162;250;538016;159.2082616;250;7960.413081;343855.9448
ProLiteX;TP5000-10SPX25L;37;5000;25;50;1172;250;538016;157.8498294;250;7892.491468;343855.9448
ProLiteX;TP6000-2SPX25;7.4;6000;25;50;256;300;117936;173.4375;300;8671.875;376475.3765
ProLiteX;TP6000-3SPX25;11.1;6000;25;50;372;300;176904;179.0322581;300;8951.612903;376475.3765
ProLiteX;TP6000-4SPX25;14.8;6000;25;50;490;300;229320;181.2244898;300;9061.22449;387231.8158
ProLiteX;TP6000-5SPX25;18.5;6000;25;50;638;300;281736;173.9811912;300;8699.059561;393985.8591
ProLiteX;TP6000-6SPX25;22.2;6000;25;50;743;300;340704;179.2732167;300;8963.660834;390955.1986
ProLiteX;TP6800-2SPX25;7.4;6800;25;50;326;340;148350;154.3558282;340;7717.791411;339197.8429
ProLiteX;TP6800-3SPX25;11.1;6800;25;50;484;340;225492;155.9504132;340;7797.520661;334734.7134
ProLiteX;TP6800-4SPX25;14.8;6800;25;50;619;340;296700;162.5848142;340;8129.240711;339197.8429
ProLiteX;TP6800-5SPX25;18.5;6800;25;50;771;340;367908;163.1647211;340;8158.236057;341933.3094
ProLiteX;TP6800-6SPX25;22.2;6800;25;50;907;340;445050;166.4388093;340;8321.940463;339197.8429
ProLiteX;TP8000-2SPX25;7.4;8000;25;50;350;400;167356;169.1428571;400;8457.142857;353736.944
ProLiteX;TP8000-3SPX25;11.1;8000;25;50;526;400;251034;168.8212928;400;8441.064639;353736.944
ProLiteX;TP8000-4SPX25;14.8;8000;25;50;701;400;334712;168.9015692;400;8445.078459;353736.944
ProLiteX;TP8000-5SPX25;18.5;8000;25;50;859;400;418390;172.2933644;400;8614.668219;353736.944
RAMPAGE;TP325-1SR70J;3.7;325;70;140;12;45.5;5625;100.2083333;45.5;14029.16667;213777.7778
RAMPAGE;TP325-2SR70B;7.4;325;70;140;23;45.5;12375;104.5652174;45.5;14639.13043;194343.4343
RAMPAGE;TP450-3SR70J;11.1;450;70;140;44;63;20670;113.5227273;63;15893.18182;241654.5718
RAMPAGE;TP870-2SR70J;7.4;870;70;140;50;121.8;24180;128.76;121.8;18026.4;266253.1017
RAMPAGE;TP870-3SR70J;11.1;870;70;140;74;121.8;37200;130.5;121.8;18270;259596.7742
RAMPAGE;TP870-4SR70;14.8;870;70;140;101;121.8;50220;127.4851485;121.8;17847.92079;256391.8757
RAMPAGE;TP1300-2SR70;7.4;1300;70;140;74;182;36000;130;182;18200;267222.2222
RAMPAGE;TP1300-3SR70;11.1;1300;70;140;109;182;51000;132.3853211;182;18533.94495;282941.1765
RAMPAGE;TP1800-3SR70;11.1;1800;70;140;150;252;71280;133.2;252;18648;280303.0303
RAMPAGE;TP1800-4SR70;14.8;1800;70;140;196;252;92070;135.9183673;252;19028.57143;289345.0635
RAMPAGE;TP1800-5SR70;18.5;1800;70;140;244;252;112860;136.4754098;252;19106.55738;295055.8214
RAMPAGE;TP1800-6SR70;22.2;1800;70;140;291;252;136620;137.3195876;252;19224.74227;292490.1186
RAMPAGE;TP2250-2SR70;7.4;2250;70;140;119;315;62424;139.9159664;315;19588.23529;266724.3368
RAMPAGE;TP2250-4SR70;14.8;2250;70;140;236;315;121380;141.1016949;315;19754.23729;274345.0321
RAMPAGE;TP2700-3SR70;11.1;2700;70;140;216;378;100620;138.75;378;19425;297853.3095
RAMPAGE;TP3300-6SR70;22.2;3300;70;140;515;462;242520;142.2524272;462;19915.33981;302078.1791
RAMPAGE;TP3300-3SR70;11.1;3300;70;140;266;462;121260;137.7067669;462;19278.94737;302078.1791
RAMPAGE;TP3300-10SR70;37;3300;70;140;859;462;400158;142.1420256;462;19899.88359;305129.4739
RAMPAGE;TP3850-3SR70;11.1;3500;70;140;310;539;145728;125.3225806;490;17545.16129;266592.556
RAMPAGE;TP3850-7SR70;25.9;3850;70;140;700;539;327888;142.45;539;19943;304112.9898
RAMPAGE;TP4400-2SR70;7.4;4400;70;140;233;616;111600;139.7424893;616;19563.9485;291756.2724
RAMPAGE;TP5000-4SR70;14.8;5000;70;140;515;700;236808;143.6893204;700;20116.50485;312489.4429
RAMPAGE;TP5000-5SR70;18.5;5000;70;140;650;700;294216;142.3076923;700;19923.07692;314394.8664
RAMPAGE;TP6600-3SR70;11.1;6600;70;140;527;924;235640;139.0132827;924;19461.85958;310897.98
